videos	dish	other_names	kept_video	kept_title	other_videos
2	كيكة قدرة قادر		bkq0o2hT008	|☆قدرة قادر☆|او كيكه الكراميل في الخلاط بكل تفاصيلها وهتظبط معاكي بعد الفيديو ده	_6WTyE5rY9c
2	حمص الشام		PSluQrdQEIY	الراعي الرسمي للشتا 😉😍 حمص الشام الرهيييييب 😍👍🏻 من مطبخي #فاطمه_ابو_حاتي  💪🏻	TN1MWrMgERg
2	مخلل لفت		8BCoOAxrDtg	مخلل اللفت بكل تكاته و ازاي يبقي مقرمش و احلي من الجاهز 😋😉 من مطبخي #فاطمه_ابو_ح	0T9cNVqg59o
2	هريسة شطة		dyqvge8AxFY	يالا عشان نلحق موسم العظمة ديه ... هريسة شطة مش هتستغنى عنها خالص فى مطبخك	xoI-k2Hp9MQ
2	قرنبيط مقلي		g6FxJbe6N40	بخلطتي المميزه هتاكلي احلي قرنبيط 😋😋 من مطبخي #فاطمه_ابو_حاتي 💪	KeZHmnT56Wo
2	صينية سمك		ufF3fYI88V4	صينية سمك علي طريقة أمي بريحة الزمن الجميل👏♥️ لازم تجربوها	Z1DqoU7EjoM
2	سمسمية		8GlPM9CED2Y	حلاوة المولد (سمسمية وحمصية وفولية) أسهل طريقه وألذ طعم 😋😍 | فاطمه أبو حاتي	eBPfFyrutMw
2	آيس كريم أوريو		7WRohReQzYg	بثلاثة مكونات اعملي احلي آيس كريم لزوم الحر 😋😊 من مطبخي #فاطمه_ابو_حاتي 💪	Fj2hnbrmCPs
2	رولات الجبنة		58h1J_tMFJg	أحب الوصفات لقلبي❤️  رولات الجبنة الخطيرة	mEI6Xor0ge4
2	فاصوليا خضراء باللحمة		RT02BCW_pnA	الفاصوليا الخضرا باللحمه بطريقة هاتخلي طعمها توووووحفه 😋😋 #فاطمه_ابو_حاتي 💪🏻	ODBb1DuQKgo
2	شوربة لحمة		19kddQg5fN4	أحلى وأسهل طريقة سلق لـ اللحمة 👌 شوربة مميزة وطعم وريحة تحفه 😍 وازاي تختاري القط	ODBb1DuQKgo
2	آيس كريم اقتصادي		EIsXYmtZ6YM	الايس كريم الاقتصادي 🍨💯 بمكونات متوفره في كل بيت 😉وطعم ولا أحلي كده😋👏👏👏#فاطمه_اب	Jv04xEpWiQI
2	فرايد تشيكن		6PFpkrRm-1Q	بـ ٥٠ جنيه هانعمل وجبه فرايد تشكين كومبو "اقتصادية " 💪ماتيجوا نشوف 🤷‍♀😍	qBExKJ3K3H0
2	تشيكن بوب كورن		CCDFztUBspI	بوب كورن الدجاج المقرمش اطعم وانضف من المطاعم 😉😎💯	XvFGxAKddHU
2	مكرونة في حلة واحدة		266ucCG7Yls	أحلي وألذ عشوه مكرونه العشر دقايق و في حله واحده  ( بديل الاندومي ) مكرونة المست	4BBk7-_31eI
2	حواوشي البيض		VnMsxaCWo-Y	فطار سريع وببيضه واحده (حواوشي الفطار)😋😋♥️	iKJn85E5i9g
2	بسكويت السينابون		Dh3J-MFoXhg	بسكويت السينابو ❤ ناعم و دايب و طعمه تحفه 😋😍| Biscuit Cinnamon	FQ1j8UJ-pZ8
2	بسكويت العشر دقايق		u2bO2NPdi5k	بسكويت العشر دقايق للعيد 🙈😍 خلاص مش محتاجين نشتري بسكوت العيد من برة تاني 😍❤ - ف	IRWWAO8-v6I
2	صينية بطاطس بالفراخ		h6MrgufhxrU	صينية بطاطس بالفراخ بطعم وريحة زمان (فراخ مستويه وبطاطس مش مهريه)- فاطمة أبو حات	3mG0-AK_wb8
2	طاجن ملوخية		lQGdUrrNcKo	ازاي نعمل الملوخيه المجمده وتطلع زي الطازه 😉طاجن الملوخيه بأجمد طشه احلي من المط	ZccwIlSxymo
2	كيك مالح		t-vFSvbYwNE	بتحتاري في الفطار واللانش بوكس هانعمل الكيك المالح اللي من حلاوته مش هاتبطلي تعم	cFVVcpYxfH0
2	ملبن		Q-PGUyDJOoI	ملبن الحبل والدوميه وملبن بالمكسرات بمقادير بسيطه جدا وطريقه سهله جدا😉👍🏻 من مطبخ	hh9QOJuYOOA
2	لحمة باردة تربيانكو		2Hwecaqv_mU	اللحمة الباردة «التربيانكو» 😋😍 أحلى وأسهل طبق ممكن تعمليه ❤👍 وازاي تربطي عرق الل	C60L3_TWbRQ
2	ريحة الكحك		7PWdiDm9-IE	حصرياً 💪🏻ريحة الكحك هاتخلي الكحك بتاعك ريحته تجيب آخر الشارع💪🏻😍من مطبخي #فاطمه_ا	wMQqLnQ0FX0
2	شوربة عدس		zjX4gNKNlC0	لزوم البرد 😁احلي شوربة عدس بطريقتي تووووووووووحفه 😋😋👍من مطبخي #فاطمه_ابوحاتي❤	2O9CYh6nw9A
2	شلولو صعيدي		giP4cQ7ioX4	«الشلولو» أكله من شدتها بتحارب الفـ ــيروسـ ـات 😅😍	PlSgdJrD8DE
2	مندي		LjOS0L8jY34	المندي علي أصوله هتعمليه أحلي من المطاعم وتحدي ✌️😍	3glvgg_bk_E
2	بوريك بالسبانخ		0V7xjmG7c04	ولادك مابيحبوش السبانخ 🤔اعمليلهم احلي بوريك هايخطفوه منك 😉😋😋البوريك بحشوة السبان	YpGzm904QWA
